race_id,date,round
20101010,2010-10-10,16
20101024,2010-10-24,17
20101107,2010-11-07,18
20101114,2010-11-14,19
20110327,2011-03-27,1
20110410,2011-04-10,2
20110417,2011-04-17,3
20110508,2011-05-08,4
20110522,2011-05-22,5
20110529,2011-05-29,6
20110612,2011-06-12,7
20110626,2011-06-26,8
20110710,2011-07-10,9
20110724,2011-07-24,10
20110731,2011-07-31,11
20110828,2011-08-28,12
20110911,2011-09-11,13
20110925,2011-09-25,14
20111009,2011-10-09,15
20111016,2011-10-16,16
20111030,2011-10-30,17
20111113,2011-11-13,18
20111127,2011-11-27,19
20120318,2012-03-18,1
20120325,2012-03-25,2
20120415,2012-04-15,3
20120422,2012-04-22,4
20120513,2012-05-13,5
20120527,2012-05-27,6
20120610,2012-06-10,7
20120624,2012-06-24,8
20120708,2012-07-08,9
20120722,2012-07-22,10
20120729,2012-07-29,11
20120902,2012-09-02,12
20120909,2012-09-09,13
20120923,2012-09-23,14
20121007,2012-10-07,15
20121014,2012-10-14,16
20121028,2012-10-28,17
20121104,2012-11-04,18
20121118,2012-11-18,19
20121125,2012-11-25,20
20130317,2013-03-17,1
20130324,2013-03-24,2
20130414,2013-04-14,3
20130421,2013-04-21,4
20130512,2013-05-12,5
20130526,2013-05-26,6
20130609,2013-06-09,7
20130630,2013-06-30,8
20130707,2013-07-07,9
20130728,2013-07-28,10
20130825,2013-08-25,11
20130908,2013-09-08,12
20130922,2013-09-22,13
20131006,2013-10-06,14
20131013,2013-10-13,15
20131027,2013-10-27,16
20131103,2013-11-03,17
20131117,2013-11-17,18
20131124,2013-11-24,19
20140316,2014-03-16,1
20140330,2014-03-30,2
20140406,2014-04-06,3
20140420,2014-04-20,4
20140511,2014-05-11,5
20140525,2014-05-25,6
20140608,2014-06-08,7
20140622,2014-06-22,8
20140706,2014-07-06,9
20140720,2014-07-20,10
20140727,2014-07-27,11
20140824,2014-08-24,12
20140907,2014-09-07,13
20140921,2014-09-21,14
20141005,2014-10-05,15
20141012,2014-10-12,16
20141102,2014-11-02,17
20141109,2014-11-09,18
20141123,2014-11-23,19
20150315,2015-03-15,1
20150329,2015-03-29,2
20150412,2015-04-12,3
20150419,2015-04-19,4
20150510,2015-05-10,5
20150524,2015-05-24,6
20150607,2015-06-07,7
20150621,2015-06-21,8
20150705,2015-07-05,9
20150726,2015-07-26,10
20150823,2015-08-23,11
20150906,2015-09-06,12
20150920,2015-09-20,13
20150927,2015-09-27,14
20151011,2015-10-11,15
20151025,2015-10-25,16
20151101,2015-11-01,17
20151115,2015-11-15,18
20151129,2015-11-29,19
20160320,2016-03-20,1
20160403,2016-04-03,2
20160417,2016-04-17,3
20160501,2016-05-01,4
20160515,2016-05-15,5
20160529,2016-05-29,6
20160612,2016-06-12,7
20160619,2016-06-19,8
20160703,2016-07-03,9
20160710,2016-07-10,10
20160724,2016-07-24,11
20160731,2016-07-31,12
20160828,2016-08-28,13
20160904,2016-09-04,14
20160918,2016-09-18,15
20161002,2016-10-02,16
20161009,2016-10-09,17
20161023,2016-10-23,18
20161030,2016-10-30,19
20161113,2016-11-13,20
20161127,2016-11-27,21
20170326,2017-03-26,1
20170409,2017-04-09,2
20170416,2017-04-16,3
20170430,2017-04-30,4
20170514,2017-05-14,5
20170528,2017-05-28,6
20170611,2017-06-11,7
20170625,2017-06-25,8
20170709,2017-07-09,9
20170716,2017-07-16,10
20170730,2017-07-30,11
20170827,2017-08-27,12
20170903,2017-09-03,13
20170917,2017-09-17,14
20171001,2017-10-01,15
20171008,2017-10-08,16
20171022,2017-10-22,17
20171029,2017-10-29,18
20171112,2017-11-12,19
20171126,2017-11-26,20
20180325,2018-03-25,1
20180408,2018-04-08,2
20180415,2018-04-15,3
20180429,2018-04-29,4
20180513,2018-05-13,5
20180527,2018-05-27,6
20180610,2018-06-10,7
20180624,2018-06-24,8
20180701,2018-07-01,9
20180708,2018-07-08,10
20180722,2018-07-22,11
20180729,2018-07-29,12
20180826,2018-08-26,13
20180902,2018-09-02,14
20180916,2018-09-16,15
20180930,2018-09-30,16
20181007,2018-10-07,17
20181021,2018-10-21,18
20181028,2018-10-28,19
20181111,2018-11-11,20
20181125,2018-11-25,21
20190317,2019-03-17,1
20190331,2019-03-31,2
20190414,2019-04-14,3
20190428,2019-04-28,4
20190512,2019-05-12,5
20190526,2019-05-26,6
20190609,2019-06-09,7
20190623,2019-06-23,8
20190630,2019-06-30,9
20190714,2019-07-14,10
20190728,2019-07-28,11
20190804,2019-08-04,12
20190901,2019-09-01,13
20190908,2019-09-08,14
20190922,2019-09-22,15
20190929,2019-09-29,16
20191013,2019-10-13,17
20191027,2019-10-27,18
20191103,2019-11-03,19
20191117,2019-11-17,20
20191201,2019-12-01,21
20200705,2020-07-05,1
20200712,2020-07-12,2
20200719,2020-07-19,3
20200802,2020-08-02,4
20200809,2020-08-09,5
20200816,2020-08-16,6
20200830,2020-08-30,7
20200906,2020-09-06,8
20200913,2020-09-13,9
20200927,2020-09-27,10
20201011,2020-10-11,11
20201025,2020-10-25,12
20201101,2020-11-01,13
20201115,2020-11-15,14
20201129,2020-11-29,15
20201206,2020-12-06,16
20201213,2020-12-13,17
20210328,2021-03-28,1
20210418,2021-04-18,2
20210502,2021-05-02,3
20210509,2021-05-09,4
20210523,2021-05-23,5
20210606,2021-06-06,6
20210620,2021-06-20,7
20210627,2021-06-27,8
20210704,2021-07-04,9
20210718,2021-07-18,10
20210801,2021-08-01,11
20210829,2021-08-29,12
20210905,2021-09-05,13
20210912,2021-09-12,14
20210926,2021-09-26,15
20211010,2021-10-10,16
20211024,2021-10-24,17
20211107,2021-11-07,18
20211114,2021-11-14,19
20211121,2021-11-21,20
20211205,2021-12-05,21
20211212,2021-12-12,22
20220320,2022-03-20,1
20220327,2022-03-27,2
20220410,2022-04-10,3
20220424,2022-04-24,4
